-2 0 0 0 2 0
-1 -1 -1 -1 2 1
-1 -1 -1 1 2 2
-2 -2 -2 0 2 3
-1 -1 1 -1 2 4
-2 -2 0 -2 2 5
-2 -2 -1 -1 2 7
-1 -1 1 1 2 8
-2 -2 0 2 2 10
-2 -2 -1 1 2 11
-2 -2 2 0 2 12
-2 -2 1 -1 2 13
-2 -2 1 1 2 14
-3 -3 -2 0 2 15
-1 1 -1 -1 2 16
-2 0 -2 -2 2 17
-2 -1 -2 -1 2 19
-2 -1 -1 -2 2 21
-3 -2 -2 -1 2 23
-3 -2 -1 -1 1 31
-1 1 -1 1 2 32
-2 0 -2 2 2 34
-2 -1 -2 1 2 35
-2 -1 -1 2 2 42
-3 -2 -2 1 2 43
-3 -2 -1 1 1 47
-2 1 -1 0 2 48
-2 1 -2 -1 2 49
-2 1 -2 1 2 50
-3 -2 -3 0 2 51
-3 -1 -2 -1 1 55
-3 -1 -2 1 1 59
-3 -2 -2 0 1 63
-1 1 1 -1 2 64
-2 0 1 -1 2 68
-2 -1 1 -2 2 69
-2 -1 2 -1 2 76
-3 -2 1 -2 2 77
-3 -2 1 -1 1 79
-2 1 0 -1 2 80
-2 1 -1 -2 2 81
-2 1 1 -2 2 84
-3 -2 0 -3 2 85
-3 -1 -1 -2 1 87
-3 -1 1 -2 1 93
-3 -2 0 -2 1 95
-2 2 -1 -1 2 112
-3 1 -2 -2 2 113
-3 1 -2 -1 1 115
-3 1 -1 -2 1 117
-3 0 -2 -2 1 119
-3 -1 -1 -1 0 127
-1 1 1 1 2 128
-2 0 1 1 2 136
-2 -1 1 2 2 138
-2 -1 2 1 2 140
-3 -2 1 2 2 142
-3 -2 1 1 1 143
-2 1 0 1 2 160
-2 1 -1 2 2 162
-2 1 1 2 2 168
-3 -2 0 3 2 170
-3 -1 -1 2 1 171
-3 -1 1 2 1 174
-3 -2 0 1 0 175
-2 2 -1 1 2 176
-3 1 -2 2 2 178
-3 1 -2 1 1 179
-3 1 -1 2 1 186
-3 0 -2 1 0 187
-3 -1 -1 1 0 191
-2 1 1 0 2 192
-2 1 2 -1 2 196
-2 1 2 1 2 200
-3 -2 3 0 2 204
-3 -1 2 -1 1 205
-3 -1 2 1 1 206
-3 -2 1 0 0 207
-2 2 1 -1 2 208
-3 1 1 -1 2 212
-3 1 1 -2 1 213
-3 1 2 -1 1 220
-3 0 1 -2 0 221
-3 -1 1 -1 0 223
-2 2 1 1 2 224
-3 1 1 1 2 232
-3 1 1 2 1 234
-3 1 2 1 1 236
-3 0 1 1 1 238
-3 -1 1 1 0 239
-3 1 0 0 2 240
-3 2 -1 -1 1 241
-3 2 -1 1 1 242
-3 1 -2 0 0 243
-3 2 1 -1 1 244
-3 1 0 -2 0 245
-3 1 -1 -1 0 247
-3 2 1 1 1 248
-3 1 0 1 1 250
-3 1 -1 1 0 251
-3 1 1 0 1 252
-3 1 1 -1 0 253
-3 1 1 1 0 254
-3 -2 0 0 -1 255
1 -1 -1 -1 2 256
0 -2 -2 -2 2 257
-1 -2 -2 -1 2 259
-1 -2 -1 -2 2 261
-2 -3 -2 -1 2 263
-2 -3 -1 -1 1 271
-1 -1 -2 -2 2 273
-2 -2 -3 -1 2 275
-2 -2 -1 -3 2 277
-3 -3 -3 -3 0 279
-3 -3 -2 -2 0 287
-2 -1 -3 -1 1 307
-3 -2 -3 -2 0 311
-3 -2 -2 -1 0 319
-2 -1 -1 -3 1 341
-3 -2 -2 -3 0 343
-3 -2 -1 -2 0 351
-3 -1 -2 -2 0 375
-3 -2 -2 -2 -1 383
-3 -1 -1 -1 -2 511
1 -1 -1 1 2 512
0 -2 -2 2 2 514
-1 -2 -2 1 2 515
-1 -2 -1 2 2 522
-2 -3 -2 1 2 523
-2 -3 -1 1 1 527
-1 -1 -2 2 2 546
-2 -2 -3 1 2 547
-2 -2 -1 3 2 554
-3 -3 -3 1 2 555
-3 -3 -2 1 1 559
-2 -1 -3 1 1 563
-3 -2 -3 1 1 571
-3 -2 -2 1 0 575
-2 -1 -1 3 1 682
-3 -2 -2 3 0 683
-3 -2 -1 2 0 687
-3 -1 -2 2 0 699
-3 -2 -2 2 -1 703
-3 -1 -1 1 -2 767
1 -2 -1 0 2 768
